sentence,emoji,text_clean
This is so frustrating. haha,😡,this is so frustrating haha
It’s my special day today.!,🎂,it s my special day today
Life feels heavy. haha,😢,life feels heavy haha
Time to party all night! lol,🥳,time to party all night lol
I’m feeling happy today.,😊,i m feeling happy today
It’s party time!.,🥳,it s party time
I can’t believe my eyes. omg,😱,i can t believe my eyes omg
I stayed up too late yesterday. lol,😴,i stayed up too late yesterday lol
You have a lovely smile.,😊,you have a lovely smile
I’m praying for you. haha,🙏,i m praying for you haha
I’m so sleepy after lunch. lol,😴,i m so sleepy after lunch lol
We had so much fun at the celebration.,🥳,we had so much fun at the celebration
I’m really angry right now. please,😡,i m really angry right now please
Feeling drowsy at work. omg,😴,feeling drowsy at work omg
Well done! omg,👍,well done omg
That works perfectly..,👍,that works perfectly
I’m praying for you. haha,🙏,i m praying for you haha
I feel blessed and happy. omg,😊,i feel blessed and happy omg
Grateful for everything. please,🙏,grateful for everything please
